,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
63826,63826,a31,b2078,you might be smiling now,the just joans,Dec 8 2017,i see you,the xx,Jan 13 2017
63868,63868,a611,b2078,so you wannabe an outlaw,steve earle & the dukes,Jun 16 2017,i see you,the xx,Jan 13 2017
63889,63889,a2688,b2078,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,i see you,the xx,Jan 13 2017
63932,63932,a1230,b2078,i see you,the xx,Jan 13 2017,i see you,the xx,Jan 13 2017
63937,63937,a726,b2078,the king & i,faith evans and the notorious b.i.g.,May 19 2017,i see you,the xx,Jan 13 2017
64036,64036,a373,b2078,how did i find myself here?,the dream syndicate,Sep 8 2017,i see you,the xx,Jan 13 2017
64044,64044,a897,b2078,more scared of you than you are of me,the smith street band,Apr 7 2017,i see you,the xx,Jan 13 2017
64130,64130,a1212,b2085,afi (the blood album),afi,Jan 20 2017,afi,afi,Jan 20 2017
64145,64145,a1209,b2088,future politics,austra,Jan 20 2017,future politics,austra,Jan 20 2017
64147,64147,a1219,b2089,apocalipstick,cherry glazerr,Jan 20 2017,apocalipstick,cherry glazerr,Jan 20 2017
64148,64148,a1210,b2093,hang,foxygen,Jan 20 2017,hang,foxygen,Jan 20 2017
64265,64265,a1216,b2094,modern ruin,frank carter & the rattlesnakes,Jan 20 2017,modern ruin,frank carter & the rattlesnakes,Jan 20 2017
