,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
68546,68546,a156,b2304,the queen is dead [deluxe edition),the smiths,Oct 20 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68553,68553,a182,b2304,the endless shimmering,and so i watch you from afar,Oct 20 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68554,68554,a185,b2304,the wasted years [box set],the jazz butcher,Oct 20 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68559,68559,a202,b2304,queens of the breakers,the barr brothers,Oct 13 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68561,68561,a212,b2304,sketches of brunswick east,king gizzard & the lizard wizard,Oct 13 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68562,68562,a213,b2304,the wild,the rural alberta advantage,Oct 13 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68565,68565,a227,b2304,the weather station,the weather station,Oct 6 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68570,68570,a247,b2304,king of the boogie [craft] [box set],john lee hooker,Oct 6 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68578,68578,a2330,b2304,prospect of skelmersdale,the magnetic north,Mar 18 2016,season of the witch,john 5 and the creatures,Mar 3 2017
68579,68579,a283,b2304,music for the age of miracles,the clientele,Sep 22 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68583,68583,a2344,b2304,of desire,the kvb,Mar 11 2016,season of the witch,john 5 and the creatures,Mar 3 2017
68585,68585,a2355,b2304,a  season in hull,the wave pictures,Mar 4 2016,season of the witch,john 5 and the creatures,Mar 3 2017
68589,68589,a2377,b2304,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,season of the witch,john 5 and the creatures,Mar 3 2017
68590,68590,a331,b2304,choir of the mind,emily haines & the soft skeleton,Sep 15 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68595,68595,a367,b2304,out of all this blue,the waterboys,Sep 8 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68597,68597,a382,b2304,the surfing magazines,the surfing magazines,Sep 8 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68598,68598,a388,b2304,the echo of pleasure,the pains of being pure at heart,Sep 1 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68599,68599,a389,b2304,the punishment of luxury,orchestral manoeuvres in the dark,Sep 1 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68610,68610,a428,b2304,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68618,68618,a421,b2304,dreaming in the non-dream,chris forsyth & the solar motel band,Aug 25 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68619,68619,a478,b2304,power of peace,the isley brothers,Jul 28 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68625,68625,a506,b2304,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68628,68628,a510,b2304,a short history of decay,john murry,Jul 21 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68635,68635,a534,b2304,"the sounds of crenshaw, vol. 1",the pollyseeds,Jul 14 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68639,68639,a557,b2304,the usual suspects,jah wobble's invaders of the heart,Jul 7 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68640,68640,a558,b2304,the nothing,the last dinosaur,Jul 7 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68643,68643,a582,b2304,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68648,68648,a609,b2304,the nashville sound,jason isbell and the 400 unit,Jun 16 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68653,68653,a786,b2304,"lovely creatures: the best of nick cave and the bad seeds, 1984-2014 [box set]",nick cave & the bad seeds,May 5 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68659,68659,a632,b2304,best of crime rock,chain & the gang,Jun 16 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68660,68660,a637,b2304,more fast songs about the apocalypse,moby & the void pacific choir,Jun 16 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68669,68669,a696,b2304,diversions vol. 4: the songs and poems of molly drake,the unthanks,May 26 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68670,68670,a697,b2304,the amazons,the amazons,May 26 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68677,68677,a726,b2304,the king & i,faith evans and the notorious b.i.g.,May 19 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68704,68704,a862,b2304,the search for everything,john mayer,Apr 14 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68707,68707,a890,b2304,love in the 4th dimension,the big moon,Apr 7 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68710,68710,a897,b2304,more scared of you than you are of me,the smith street band,Apr 7 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68732,68732,a994,b2304,the navigator,hurray for the riff raff,Mar 10 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68741,68741,a1105,b2304,the courtneys ii,the courtneys,Feb 17 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68747,68747,a1147,b2304,after the party,the menzingers,Feb 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68797,68797,a947,b2304,the ghost of hope,the residents,Mar 24 2017,season of the witch,john 5 and the creatures,Mar 3 2017
68848,68848,a1976,b2304,monolith of phobos,the claypool lennon delirium,Jun 3 2016,season of the witch,john 5 and the creatures,Mar 3 2017
68855,68855,a1015,b2308,wired,mallory knox,Mar 10 2017,wired,mallory knox,Mar 3 2017
68856,68856,a1036,b2310,everything is forgotten,methyl ethel,Mar 3 2017,everything is forgotten,methyl ethel,Mar 3 2017
68862,68862,a1032,b2311,voids,minus the bear,Mar 3 2017,voids,minus the bear,Mar 3 2017
69444,69444,a2283,b2312,one day you will ache like i ache,the body,Mar 25 2016,two devils will talk,the real mckenzies,Mar 3 2017
69479,69479,a1023,b2313,english tapas,sleaford mods,Mar 3 2017,english tapas,sleaford mods,Mar 3 2017
69480,69480,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017
69481,69481,a1029,b2316,moh lhean,why?,Mar 3 2017,moh lhean,why?,Mar 3 2017
69520,69520,a1094,b2317,terrible human beings,the orwells,Feb 17 2017,halfway human,within the ruins,Mar 3 2017
69805,69805,a1001,b2328,black and white rainbows,bush,Mar 10 2017,black and white rainbows,bush,Mar 10 2017
69808,69808,a1013,b2329,number 1 angel [mixtape],charli xcx,Mar 10 2017,number 1 angel,charli xcx,Mar 10 2017
69810,69810,a1004,b2330,different creatures,circa waves,Mar 10 2017,different creatures,circa waves,Mar 10 2017
69812,69812,a996,b2331,godless prophets & the migrant flora,darkest hour,Mar 10 2017,godless prophets & the migrant flora,darkest hour,Mar 10 2017
69814,69814,a984,b2333,50:50@50,fairport convention,Mar 17 2017,50:50@50,fairport convention,Mar 10 2017
69815,69815,a987,b2334,millport,greg graffin,Mar 10 2017,millport,greg graffin,Mar 10 2017
69831,69831,a534,b2336,"the sounds of crenshaw, vol. 1",the pollyseeds,Jul 14 2017,the navigator,hurray for the riff raff,Mar 10 2017
